DOWNumber,LAKE_NAME,cisco,whitefish,laketrout
16061700,Gneiss,1,1,1
16062300,Tuscarora,0,0,1
16062900,Sea Gull,1,1,1
16063200,Gull,1,1,0
16063300,Saganaga (1-7) - MN,1,1,1
16071600,Fern,0,0,1
16071800,West Fern,0,0,1
16071900,Virgin,1,0,1
16072300,Crooked,0,0,1
16072600,Owl,0,0,1
16075200,Bat,0,0,1
16075300,Gillis,0,0,1
16075500,French,0,0,1
16075600,Powell,0,0,1
16075700,Peter,0,0,1
16075900,Alpine,1,1,0
16076800,Jasper,0,1,1
16078300,Fay,0,0,1
16078900,Howard,0,0,1
16079300,Red Rock,1,1,0
16080900,Little Saganaga,0,0,1
16081100,Gabimichigami,0,0,1
16081200,Kingfisher,0,1,0
16081300,Zephyr,0,1,0
16090000,Granite Bay,0,1,0
18000100,Whitefish,1,0,0
18000200,Long / Tame Fish,1,0,0
18001900,Kenney,1,0,0
18002000,Borden,1,0,0
18002800,Smith,1,0,0
18003000,Barbour,1,0,0
18003400,Bay,1,0,0
18003800,Clearwater,1,0,0
18004100,Crooked,1,0,0
18004400,Hanks,1,0,0
18005000,Portage,1,0,0
18006900,Portage,1,0,0
18008800,Platte,1,0,0
18009000,Serpent,1,0,0
18009302,Rabbit (West Portion),1,0,0
18009600,Upper South Long,1,0,0
18010400,Nokay,1,0,0
18013100,Clinker,1,0,0
18013300,Miller,1,0,0
18013600,South Long,1,0,0
18013900,Little Rabbit,1,0,0
18014000,Black Bear,1,0,0
18020800,Allen,1,0,0
18020900,Pug Hole,1,0,0
18021100,Blue,1,0,0
18022300,Goggle,1,0,0
18024200,Upper Mission,1,0,0
18024300,Lower Mission,1,0,0
18026100,Pine,0,1,0
18026600,Little Pine,1,1,0
18026900,Island-Loon,1,1,0
18027100,Daggett,1,1,0
18029400,Mitchell,1,0,0
18029600,Eagle,1,0,0
18029700,West Fox,1,0,0
18029800,East Fox,1,0,0
18030500,Edward,1,0,0
18030800,Pelican,1,1,0
18031000,Whitefish,1,1,0
18031100,Rush-Hen,1,1,0
18031200,Cross Lake Reservoir,1,1,0
18031500,Big Trout,1,1,0
18035200,Ossawinnamakee,1,1,0
18035400,Pig,1,1,0
18035500,Bertha,1,1,0
18035600,Clamshell,1,1,0
18035800,Bass,1,0,0
18035900,Star,1,0,0
18036000,Little Star,1,0,0
18036100,Kimball,1,1,0
18036400,Clear,1,0,0
18036600,Arrowhead,0,1,0
