max_depth_m,Parent_DOW.x,Parent_DOW.y,LAKE_AREA_MN_ACRES,LARGE_LAKE_FLAG,UTM_DATUM_ID,UTM_ZONE_ID
7.62,70053,70053,290.42,N,83,15
17.6784,70054,70054,370.76,N,83,15
2.7432,70079,70079,1358.59,N,83,15
2.4384,70090,70090,133.91,N,83,15
2.1336,70096,70096,808.62,N,83,15
2.4384,70098,70098,379.38,N,83,15
2.4384,80011,80011,251.78,N,83,15
6.4008,80045,80045,240.82,N,83,15
6.4008,90003,90003,34.17,N,83,15
2.7432,90006,90006,40.89,N,83,15
7.62,90007,90007,36.41,N,83,15
8.5344,90008,90008,313.42,N,83,15
4.2672,90010,90010,140.05,N,83,15
8.2296,90016,90016,127.61,N,83,15
8.9916,90026,90026,77,N,83,15
4.8768,90029,90029,381.27,N,83,15
7.62,90032,90032,529.5,N,83,15
9.4488,90034,90034,100.08,N,83,15
21.336,90035,90035,114.37,N,83,15
24.384,90038,90038,408.66,N,83,15
5.4864,90041,90041,279.24,N,83,15
20.4216,90043,90043,132.66,N,83,15
14.3256,90044,90044,108.3,N,83,15
10.668,90057,90057,389,N,83,15
7.62,90060,90060,113.56,N,83,15
6.7056,90060,90060,319.99,N,83,15
7.0104,90062,90062,106.91,N,83,15
14.6304,90067,90067,234.68,N,83,15
7.3152,90068,90068,142.07,N,83,15
14.9352,100002,100002,296.21,N,83,15
8.8392,100006,100006,245.15,N,83,15
6.096,100007,100007,86.61,N,83,15
21.336,100009,100009,676.95,N,83,15
13.716,100012,100012,110.04,N,83,15
5.1816,100013,100013,87.78,N,83,15
10.3632,100015,100015,104.9,N,83,15
20.1168,100019,100019,166.46,N,83,15
17.6784,100041,100041,271.13,N,83,15
5.4864,100042,100042,257.92,N,83,15
11.2776,100045,100045,165.88,N,83,15
12.4968,100048,100048,163.03,N,83,15
10.9728,100052,100052,92.42,N,83,15
12.192,100053,100053,296.66,N,83,15
11.2776,100059,100059,3080.35,N,83,15
5.4864,100088,100088,222.89,N,83,15
3.3528,100093,100093,333.17,N,83,15
4.2672,100121,100121,183.22,N,83,15
13.4112,110026,110026,702.35,N,83,15
18.288,110037,110037,121.53,N,83,15
39.3192,110043,110043,1510.58,N,83,15
33.8328,110059,110059,1590.19,N,83,15
28.956,110062,110062,1346.87,N,83,15
16.764,110069,110069,193.2,N,83,15
7.0104,110077,110077,729.93,N,83,15
16.764,110086,110086,372.16,N,83,15
3.6576,110092,110092,408.88,N,83,15
13.716,110102,110102,358.3,N,83,15
21.0312,110105,110105,421.42,N,83,15
19.2024,110116,110116,111.27,N,83,15
4.2672,110121,110121,191.72,N,83,15
9.7536,110129,110129,618.01,N,83,15
35.052,110142,110142,1008.77,N,83,15
13.716,110143,110143,3452.14,N,83,15
20.7264,110146,110146,1323.03,N,83,15
22.5552,110167,110167,1451.67,N,83,15
24.6888,110174,110174,428.18,N,83,15
3.9624,110177,110177,287.89,N,83,15
3.3528,110190,110190,697.67,N,83,15
17.0688,110199,110199,363.7,N,83,15
14.3256,110200,110200,524.58,N,83,15
6.096,110202,110202,121.25,N,83,15
16.764,110204,110204,1538.61,N,83,15
16.4592,110218,110218,422.14,N,83,15
8.2296,110220,110220,138.53,N,83,15
7.9248,110222,110222,247.78,N,83,15
18.288,110234,110234,388.61,N,83,15
17.3736,110242,110242,289.21,N,83,15
18.288,110250,110250,963.31,N,83,15
12.192,110257,110257,184.26,N,83,15
11.2776,110258,110258,246.3,N,83,15
8.8392,110263,110263,285.04,N,83,15
14.6304,110270,110270,155.46,N,83,15
14.0208,110273,110273,197.5,N,83,15
20.4216,110274,110274,766.67,N,83,15
16.4592,110279,110279,149.17,N,83,15
28.3464,110282,110282,491.05,N,83,15
21.0312,110283,110283,737.32,N,83,15
7.62,110292,110292,260.5,N,83,15
